Job,Arrival,Deadline,Machine,Start,Processing Time,End,Tardiness
Job_114,7090.59,10467.222817692682,M1,22285.27,91,22376.27,12386.047182307319
Job_114,7090.59,10467.222817692682,M0,22376.27,85,22461.27,12386.047182307319
Job_114,7090.59,10467.222817692682,M3,22461.27,39,22500.27,12386.047182307319
Job_114,7090.59,10467.222817692682,M2,22500.27,74,22574.27,12386.047182307319
Job_114,7090.59,10467.222817692682,M8,22574.27,90,22664.27,12386.047182307319
Job_114,7090.59,10467.222817692682,M5,22664.27,10,22674.27,12386.047182307319
Job_114,7090.59,10467.222817692682,M7,22674.27,12,22686.27,12386.047182307319
Job_114,7090.59,10467.222817692682,M6,22686.27,89,22775.27,12386.047182307319
Job_114,7090.59,10467.222817692682,M9,22775.27,45,22820.27,12386.047182307319
Job_114,7090.59,10467.222817692682,M4,22820.27,33,22853.27,12386.047182307319
Job_113,6990.12,10021.955804618428,M0,21560.07,43,21603.07,12456.71419538157
Job_113,6990.12,10021.955804618428,M2,21664.07,90,21754.07,12456.71419538157
Job_113,6990.12,10021.955804618428,M4,21754.07,75,21829.07,12456.71419538157
Job_113,6990.12,10021.955804618428,M9,22176.67,11,22187.67,12456.71419538157
Job_113,6990.12,10021.955804618428,M3,22187.67,69,22256.67,12456.71419538157
Job_113,6990.12,10021.955804618428,M1,22256.67,28,22284.67,12456.71419538157
Job_113,6990.12,10021.955804618428,M6,22284.67,46,22330.67,12456.71419538157
Job_113,6990.12,10021.955804618428,M5,22330.67,46,22376.67,12456.71419538157
Job_113,6990.12,10021.955804618428,M7,22376.67,72,22448.67,12456.71419538157
Job_113,6990.12,10021.955804618428,M8,22448.67,30,22478.67,12456.71419538157
Job_112,6941.64,9289.82655455741,M0,21530.47,29,21559.47,12886.24344544259
Job_112,6941.64,9289.82655455741,M1,21576.47,78,21654.47,12886.24344544259
Job_112,6941.64,9289.82655455741,M2,21654.47,9,21663.47,12886.24344544259
Job_112,6941.64,9289.82655455741,M3,21665.07,36,21701.07,12886.24344544259
Job_112,6941.64,9289.82655455741,M4,21701.07,49,21750.07,12886.24344544259
Job_112,6941.64,9289.82655455741,M5,21750.07,11,21761.07,12886.24344544259
Job_112,6941.64,9289.82655455741,M6,21952.07,62,22014.07,12886.24344544259
Job_112,6941.64,9289.82655455741,M7,22055.07,56,22111.07,12886.24344544259
Job_112,6941.64,9289.82655455741,M8,22111.07,44,22155.07,12886.24344544259
Job_112,6941.64,9289.82655455741,M9,22155.07,21,22176.07,12886.24344544259
Job_111,6787.0,9991.234311155556,M2,20636.27,31,20667.27,12142.235688844445
